


_________________________________________________________________
_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_
|This scenario conducted for 365 days at a demand modifier of 0.500000.
|    DAY    | ON HAND AM | ON HAND PM | UNITS SOLD | WASTE/LOSS |
|___________|____________|____________|____________|____________|
     1      |     85     |     78     |     7      |     0      |
     2      |     78     |     66     |     12     |     0      |
     3      |     66     |     59     |     7      |     0      |
     4      |     59     |     52     |     7      |     0      |
     5      |     52     |     42     |     10     |     0      |
     6      |     42     |     42     |     0      |     0      |
     7      |     42     |     42     |     0      |     0      |
     8      |     42     |     35     |     7      |     0      |
     9      |     35     |     25     |     10     |     0      |
     10     |     68     |     56     |     12     |     0      |
     11     |     56     |     51     |     5      |     0      |
     12     |     51     |     49     |     2      |     0      |
     13     |     49     |     49     |     0      |     0      |
     14     |     49     |     44     |     5      |     0      |
     15     |     44     |     39     |     5      |     0      |
     16     |     39     |     37     |     2      |     0      |
     17     |     37     |     35     |     2      |     0      |
     18     |     35     |     30     |     5      |     0      |
     19     |     71     |     71     |     0      |     0      |
     20     |     71     |     71     |     0      |     0      |
     21     |     71     |     71     |     0      |     0      |
     22     |     71     |     71     |     0      |     0      |
     23     |     71     |     69     |     2      |     0      |
     24     |     69     |     69     |     0      |     0      |
     25     |     69     |     64     |     5      |     0      |
     26     |     64     |     59     |     5      |     0      |
     27     |     59     |     52     |     7      |     0      |
     28     |     52     |     45     |     7      |     0      |
     29     |     45     |     35     |     10     |     0      |
     30     |     35     |     25     |     10     |     0      |
     31     |     25     |     20     |     5      |     0      |
     32     |     70     |     63     |     7      |     0      |
     33     |     63     |     56     |     7      |     0      |
     34     |     56     |     56     |     0      |     0      |
     35     |     56     |     44     |     12     |     0      |
     36     |     44     |     44     |     0      |     0      |
     37     |     44     |     42     |     2      |     0      |
     38     |     83     |     81     |     2      |     0      |
     39     |     81     |     79     |     2      |     0      |
     40     |     79     |     74     |     5      |     0      |
     41     |     74     |     72     |     2      |     0      |
     42     |     72     |     62     |     10     |     0      |
     43     |     62     |     60     |     2      |     0      |
     44     |     60     |     58     |     2      |     0      |
     45     |     58     |     46     |     12     |     0      |
     46     |     46     |     34     |     12     |     0      |
     47     |     34     |     34     |     0      |     0      |
     48     |     34     |     32     |     2      |     0      |
     49     |     32     |     22     |     10     |     0      |
     50     |     22     |     22     |     0      |     0      |
     51     |     73     |     68     |     5      |     0      |
     52     |     68     |     61     |     7      |     0      |
     53     |     61     |     49     |     12     |     0      |
     54     |     49     |     47     |     2      |     0      |
     55     |     47     |     42     |     5      |     0      |
     56     |     42     |     42     |     0      |     0      |
     57     |     42     |     30     |     12     |     0      |
     58     |     30     |     25     |     5      |     0      |
     59     |     25     |     23     |     2      |     0      |
     60     |     23     |     11     |     12     |     0      |
     61     |     54     |     49     |     5      |     0      |
     62     |     49     |     39     |     10     |     0      |
     63     |     39     |     29     |     10     |     0      |
     64     |     29     |     29     |     0      |     0      |
     65     |     29     |     29     |     0      |     0      |
     66     |     29     |     24     |     5      |     0      |
     67     |     70     |     60     |     10     |     0      |
     68     |     60     |     53     |     7      |     0      |
     69     |     53     |     41     |     12     |     0      |
     70     |     41     |     34     |     7      |     0      |
     71     |     34     |     29     |     5      |     0      |
     72     |     73     |     63     |     10     |     0      |
     73     |     63     |     63     |     0      |     0      |
     74     |     63     |     56     |     7      |     0      |
     75     |     56     |     51     |     5      |     0      |
     76     |     51     |     51     |     0      |     0      |
     77     |     51     |     49     |     2      |     0      |
     78     |     49     |     44     |     5      |     0      |
     79     |     44     |     42     |     2      |     0      |
     80     |     42     |     42     |     0      |     0      |
     81     |     42     |     40     |     2      |     0      |
     82     |     40     |     28     |     12     |     0      |
     83     |     69     |     69     |     0      |     0      |
     84     |     69     |     59     |     10     |     0      |
     85     |     59     |     52     |     7      |     0      |
     86     |     52     |     47     |     5      |     0      |
     87     |     47     |     45     |     2      |     0      |
     88     |     45     |     38     |     7      |     0      |
     89     |     38     |     26     |     12     |     0      |
     90     |     26     |     16     |     10     |     0      |
     91     |     16     |     9      |     7      |     0      |
     92     |     9      |     2      |     7      |     0      |
     93     |     2      |     0      |     5      |     0      |
     94     |     47     |     42     |     5      |     0      |
     95     |     42     |     35     |     7      |     0      |
     96     |     35     |     28     |     7      |     0      |
     97     |     28     |     28     |     0      |     0      |
     98     |     71     |     69     |     2      |     0      |
     99     |     69     |     57     |     12     |     0      |
    100     |     57     |     47     |     10     |     0      |
    101     |     47     |     42     |     5      |     0      |
    102     |     42     |     37     |     5      |     0      |
    103     |     37     |     30     |     7      |     0      |
    104     |     30     |     20     |     10     |     0      |
    105     |     63     |     51     |     12     |     0      |
    106     |     51     |     49     |     2      |     0      |
    107     |     49     |     42     |     7      |     0      |
    108     |     42     |     35     |     7      |     0      |
    109     |     35     |     33     |     2      |     0      |
    110     |     33     |     21     |     12     |     0      |
    111     |     64     |     64     |     0      |     0      |
    112     |     64     |     57     |     7      |     0      |
    113     |     57     |     50     |     7      |     0      |
    114     |     50     |     48     |     2      |     0      |
    115     |     48     |     46     |     2      |     0      |
